date,pm25,pm10,o3,no2,so2,co
2014-01-01,125.0,136.0,4.0,44.0,45.0,39.0
2014-01-02,218.0,79.0,22.0,20.0,15.0,22.0
2014-01-03,127.0,109.0,3.0,37.0,26.0,32.0
2014-01-04,213.0,74.0,16.0,32.0,23.0,24.0
2014-01-05,168.0,91.0,4.0,33.0,30.0,22.0
2014-01-06,204.0,69.0,19.0,27.0,21.0,22.0
2014-01-07,178.0,17.0,21.0,7.0,7.0,11.0
2014-01-08,65.0,42.0,22.0,14.0,9.0,13.0
2014-01-09,92.0,77.0,5.0,33.0,31.0,23.0
2014-01-10,160.0,120.0,3.0,48.0,47.0,34.0
2014-01-11,218.0,36.0,22.0,16.0,11.0,12.0
2014-01-12,76.0,97.0,6.0,40.0,43.0,29.0
2014-01-13,190.0,94.0,5.0,38.0,46.0,30.0
2014-01-14,190.0,162.0,6.0,46.0,47.0,36.0
2014-01-15,249.0,340.0,7.0,58.0,58.0,47.0
2014-01-16,466.0,88.0,14.0,31.0,33.0,24.0
2014-01-17,228.0,57.0,14.0,32.0,22.0,19.0
2014-01-18,134.0,125.0,26.0,33.0,40.0,28.0
2014-01-19,185.0,30.0,24.0,7.0,3.0,11.0
2014-01-20,42.0,36.0,18.0,21.0,18.0,17.0
2014-01-21,95.0,102.0,6.0,44.0,46.0,27.0
2014-01-22,211.0,173.0,2.0,56.0,66.0,41.0
2014-01-23,339.0,103.0,7.0,39.0,39.0,26.0
2014-01-24,221.0,37.0,26.0,18.0,12.0,16.0
2014-01-25,98.0,58.0,21.0,18.0,21.0,15.0
2014-01-26,122.0,83.0,22.0,29.0,33.0,19.0
2014-01-27,157.0,54.0,23.0,16.0,12.0,15.0
2014-01-28,109.0,97.0,9.0,31.0,38.0,26.0
2014-01-29,208.0,62.0,27.0,16.0,20.0,17.0
2014-01-30,126.0,132.0,14.0,18.0,38.0,17.0
2014-01-31,220.0,95.0,2.0,24.0,34.0,22.0
2014-02-01,211.0,73.0,29.0,11.0,11.0,20.0
2014-02-02,117.0,30.0,28.0,4.0,3.0,18.0
2014-02-03,31.0,29.0,25.0,9.0,10.0,18.0
2014-02-04,63.0,74.0,20.0,17.0,28.0,18.0
2014-02-05,175.0,88.0,17.0,24.0,36.0,25.0
2014-02-06,202.0,57.0,16.0,18.0,21.0,14.0
2014-02-07,175.0,28.0,28.0,13.0,12.0,17.0
2014-02-08,108.0,9.0,26.0,8.0,9.0,17.57244934791159
2014-02-09,51.0,18.0,23.0,15.0,11.0,18.0
2014-02-10,74.0,77.0,13.0,38.0,38.0,24.0
2014-02-11,192.0,83.0,24.0,35.0,30.0,24.0
2014-02-12,205.0,116.0,17.0,34.0,44.0,28.0
2014-02-13,261.0,186.0,11.0,43.0,43.0,36.0
2014-02-14,332.0,324.0,12.0,50.0,56.0,39.0
2014-02-15,408.0,173.0,25.0,39.0,45.0,31.0
2014-02-16,322.0,56.0,28.0,27.0,37.0,21.0
2014-02-17,161.0,54.0,21.0,25.0,21.0,12.0
2014-02-18,148.0,57.0,24.0,27.0,22.0,17.0
2014-02-19,140.0,143.0,4.0,37.0,24.0,23.0
2014-02-20,302.0,165.0,7.0,45.0,39.0,33.0
2014-02-21,378.0,170.0,7.0,43.0,53.0,35.0
2014-02-22,387.0,154.0,9.0,39.0,69.0,39.0
2014-02-23,338.0,216.0,4.0,61.0,71.0,49.0
2014-02-24,398.0,301.0,3.0,64.0,50.0,58.0
2014-02-25,462.0,262.0,14.0,63.0,44.0,29.0
2014-02-26,421.0,23.0,32.0,10.0,5.0,10.0
2014-02-27,67.0,65.0,17.0,30.0,20.0,16.0
2014-02-28,169.0,61.0,31.0,26.0,16.0,21.0
2014-03-01,142.0,111.0,16.0,41.0,37.0,29.0
2014-03-02,208.0,155.0,4.0,44.0,57.0,46.0
2014-03-03,295.0,55.0,30.0,16.0,13.0,24.0
2014-03-04,95.0,28.0,26.0,19.0,8.0,11.0
2014-03-05,78.0,22.0,30.0,11.0,5.0,18.0
2014-03-06,62.0,55.0,25.0,21.0,12.0,16.0
2014-03-07,131.0,118.0,15.0,43.0,40.0,26.0
2014-03-08,227.0,90.0,27.0,34.0,25.0,21.0
2014-03-09,188.0,80.0,18.0,33.0,30.0,22.0
2014-03-10,173.0,125.0,35.0,41.0,42.0,30.0
2014-03-11,253.0,20.0,41.0,12.0,3.0,18.0
2014-03-12,61.0,47.0,36.0,19.0,6.0,12.0
2014-03-13,73.0,56.0,37.0,15.0,6.0,17.0
2014-03-14,72.0,109.0,26.0,48.0,25.0,16.0
2014-03-15,180.0,113.0,42.0,36.0,44.0,31.0
2014-03-16,188.0,141.0,30.0,28.0,14.0,20.0
2014-03-17,145.0,79.0,37.0,19.0,8.0,13.0
2014-03-18,106.0,67.0,34.0,24.0,10.0,12.0
2014-03-19,134.0,26.0,36.0,9.0,2.0,9.0
2014-03-20,42.0,45.0,40.0,20.0,6.0,16.0
2014-03-21,78.0,86.0,43.0,28.0,9.0,13.0
2014-03-22,131.0,111.0,74.0,36.0,24.0,19.0
2014-03-23,207.0,141.0,47.0,50.0,30.0,23.0
2014-03-24,293.0,136.0,72.0,53.0,24.0,21.0
2014-03-25,278.0,189.0,63.0,60.0,29.0,23.0
2014-03-26,354.0,196.0,6.0,61.0,20.0,29.0
2014-03-27,321.0,108.0,39.0,33.0,14.0,21.0
2014-03-28,207.0,68.0,43.0,15.0,3.0,16.0
2014-03-29,103.0,59.0,43.0,21.0,3.0,10.0
2014-03-30,93.0,117.0,39.0,34.0,18.0,22.0
2014-03-31,206.0,84.0,57.0,32.0,8.0,9.0
2014-04-01,201.0,107.0,65.0,27.0,13.0,14.0
2014-04-02,178.0,61.0,41.0,19.0,4.0,15.167267447900304
2014-04-03,78.0,91.0,44.0,20.0,5.0,11.0
2014-04-04,95.0,67.0,44.0,14.0,4.0,9.974510035989894
2014-04-05,75.0,96.0,47.0,29.0,6.0,12.0
2014-04-06,138.0,108.0,77.0,26.0,11.0,16.0
2014-04-07,169.0,139.0,93.0,39.0,21.0,20.0
2014-04-08,221.0,134.0,46.0,24.0,12.0,14.0
2014-04-09,205.0,275.0,27.0,21.0,16.0,18.0
2014-04-10,171.0,79.0,40.0,24.0,11.0,15.0
2014-04-11,141.0,99.0,61.0,35.0,15.0,20.0
2014-04-12,183.0,116.0,98.0,31.0,14.0,24.970123490516
2014-04-13,206.0,147.0,94.0,39.0,18.0,22.0
2014-04-14,300.0,79.0,33.0,28.0,9.0,12.0
2014-04-15,151.0,79.0,34.0,31.0,6.0,13.0
2014-04-16,144.0,85.0,42.0,34.0,13.0,18.0
2014-04-17,182.0,85.0,54.0,26.0,9.0,17.0
2014-04-18,203.0,58.0,33.0,32.0,9.0,12.0
2014-04-19,150.0,55.0,45.0,26.0,4.0,13.0
2014-04-20,141.0,58.0,46.0,29.0,3.0,11.0
2014-04-21,124.0,73.0,67.0,28.0,4.0,13.0
2014-04-22,159.0,97.0,79.0,21.0,13.0,13.0
2014-04-23,186.0,83.0,67.0,22.0,10.0,7.0
2014-04-24,178.0,112.0,74.0,39.0,12.0,9.0
2014-04-25,190.0,65.0,35.0,10.0,1.0,2.0
2014-04-26,111.0,63.0,56.0,20.0,2.0,5.0
2014-04-27,142.0,79.0,70.0,22.0,4.0,6.0
2014-04-28,148.0,100.0,87.0,33.0,10.0,9.0
2014-04-29,176.0,100.0,101.0,28.0,13.0,9.0
2014-04-30,182.0,124.0,89.0,17.0,11.0,7.0
2014-05-01,188.0,41.0,42.0,9.0,1.0,1.0
2014-05-02,108.0,106.0,42.0,24.0,3.0,3.0
2014-05-03,156.0,49.0,39.0,7.0,1.0,1.0
2014-05-04,123.0,48.0,38.0,18.0,1.0,3.0
2014-05-05,122.0,97.0,52.0,26.0,17.0,8.0
2014-05-06,171.0,80.0,47.0,24.0,6.0,11.0
2014-05-07,152.0,80.0,80.0,25.0,8.0,8.0
2014-05-08,167.0,79.0,55.0,25.0,17.0,11.0
2014-05-09,154.0,67.0,43.0,22.0,14.0,10.0
2014-05-10,142.0,27.0,40.0,14.0,1.0,7.0
2014-05-11,92.0,60.0,70.0,23.0,2.0,5.0
2014-05-12,121.0,85.0,50.0,30.0,5.0,5.0
