date,WLM_RPE,WLM_GSE,RPE_WSE,GSE_WSE,WSE
2010-06-04,2.12,-1.62,4.597,0.857,-2.477
2010-06-05,2.12,-1.62,4.613,0.873,-2.493
2010-06-06,2.12,-1.62,4.623,0.883,-2.503
2010-06-07,2.12,-1.62,4.623,0.883,-2.503
2010-06-08,2.12,-1.62,4.644,0.904,-2.524
2010-06-09,2.12,-1.62,4.674,0.934,-2.554
2010-06-10,2.12,-1.62,4.652,0.912,-2.532
2010-06-11,2.12,-1.62,4.679,0.939,-2.559
2010-06-12,2.12,-1.62,4.746,1.006,-2.626
2010-06-13,2.12,-1.62,4.763,1.023,-2.643
2010-06-14,2.12,-1.62,4.759,1.019,-2.639
2010-06-15,2.12,-1.62,4.751,1.011,-2.631
2010-06-16,2.12,-1.62,4.814,1.074,-2.694
2010-06-17,2.12,-1.62,4.872,1.132,-2.752
2010-06-18,2.12,-1.62,4.895,1.155,-2.775
2010-06-19,2.12,-1.62,4.924,1.184,-2.804
2010-06-20,2.12,-1.62,4.934,1.194,-2.814
2010-06-21,2.12,-1.62,4.937,1.197,-2.817
2010-06-22,2.12,-1.62,4.939,1.199,-2.819
2010-06-23,2.12,-1.62,4.909,1.169,-2.789
2010-06-24,2.12,-1.62,4.884,1.144,-2.764
2010-06-25,2.12,-1.62,4.886,1.146,-2.766
2010-06-26,2.12,-1.62,4.923,1.183,-2.803
2010-06-27,2.12,-1.62,4.948,1.208,-2.828
2010-06-28,2.12,-1.62,4.969,1.229,-2.849
2010-06-29,2.12,-1.62,5.006,1.266,-2.886
2010-06-30,2.12,-1.62,5.044,1.304,-2.924
2010-07-01,2.12,-1.62,5.058,1.318,-2.938
2010-07-02,2.12,-1.62,5.041,1.301,-2.921
2010-07-03,2.12,-1.62,5.021,1.281,-2.901
2010-07-04,2.12,-1.62,5.04,1.3,-2.92
2010-07-05,2.12,-1.62,5.028,1.288,-2.908
2010-07-06,2.12,-1.62,4.979,1.239,-2.859
2010-07-07,2.12,-1.62,4.963,1.223,-2.843
2010-07-08,2.12,-1.62,4.983,1.243,-2.863
2010-07-09,2.12,-1.62,5.009,1.269,-2.889
2010-07-10,2.12,-1.62,5.052,1.312,-2.932
2010-07-11,2.12,-1.62,5.082,1.342,-2.962
2010-07-12,2.12,-1.62,5.09,1.35,-2.97
2010-07-13,2.12,-1.62,5.132,1.392,-3.012
2010-07-14,2.12,-1.62,5.202,1.462,-3.082
2010-07-15,2.12,-1.62,5.279,1.539,-3.159
2010-07-16,2.12,-1.62,5.312,1.572,-3.192
2010-07-17,2.12,-1.62,5.33,1.59,-3.21
2010-07-18,2.12,-1.62,5.377,1.637,-3.257
2010-07-19,2.12,-1.62,5.417,1.677,-3.297
2010-07-20,2.12,-1.62,5.402,1.662,-3.282
2010-07-21,2.12,-1.62,5.357,1.617,-3.237
2010-07-22,2.12,-1.62,5.387,1.647,-3.267
2010-07-23,2.12,-1.62,5.447,1.707,-3.327
2010-07-24,2.12,-1.62,5.491,1.751,-3.371
2010-07-25,2.12,-1.62,5.489,1.749,-3.369
2010-07-26,2.12,-1.62,5.457,1.717,-3.337
2010-07-27,2.12,-1.62,5.455,1.715,-3.335
2010-07-28,2.12,-1.62,5.496,1.756,-3.376
2010-07-29,2.12,-1.62,5.525,1.785,-3.405
2010-07-30,2.12,-1.62,5.532,1.792,-3.412
2010-07-31,2.12,-1.62,5.538,1.798,-3.418
2010-08-01,2.12,-1.62,5.541,1.801,-3.421
2010-08-02,2.12,-1.62,5.554,1.814,-3.434
2010-08-03,2.12,-1.62,5.576,1.836,-3.456
2010-08-04,2.12,-1.62,5.589,1.849,-3.469
2010-08-05,2.12,-1.62,5.56,1.82,-3.44
2010-08-06,2.12,-1.62,5.539,1.799,-3.419
2010-08-07,2.12,-1.62,5.537,1.797,-3.417
2010-08-08,2.12,-1.62,5.543,1.803,-3.423
2010-08-09,2.12,-1.62,5.546,1.806,-3.426
2010-08-10,2.12,-1.62,5.567,1.827,-3.447
2010-08-11,2.12,-1.62,5.569,1.829,-3.449
2010-08-12,2.12,-1.62,5.578,1.838,-3.458
2010-08-13,2.12,-1.62,5.628,1.888,-3.508
2010-08-14,2.12,-1.62,5.638,1.898,-3.518
2010-08-15,2.12,-1.62,5.636,1.896,-3.516
2010-08-16,2.12,-1.62,5.661,1.921,-3.541
2010-08-17,2.12,-1.62,5.676,1.936,-3.556
2010-08-18,2.12,-1.62,5.651,1.911,-3.531
2010-08-19,2.12,-1.62,5.636,1.896,-3.516
2010-08-20,2.12,-1.62,5.636,1.896,-3.516
2010-08-21,2.12,-1.62,5.59,1.85,-3.47
2010-08-22,2.12,-1.62,5.59,1.85,-3.47
2010-08-23,2.12,-1.62,5.662,1.922,-3.542
2010-08-24,2.12,-1.62,5.721,1.981,-3.601
2010-08-25,2.12,-1.62,5.758,2.018,-3.638
2010-08-26,2.12,-1.62,5.739,1.999,-3.619
2010-08-27,2.12,-1.62,5.68,1.94,-3.56
2010-08-28,2.12,-1.62,5.633,1.893,-3.513
2010-08-29,2.12,-1.62,5.582,1.842,-3.462
2010-08-30,2.12,-1.62,5.594,1.854,-3.474
2010-08-31,2.12,-1.62,5.61,1.87,-3.49
2010-09-01,2.12,-1.62,5.648,1.908,-3.528
2010-09-02,2.12,-1.62,5.661,1.921,-3.541
2010-09-03,2.12,-1.62,5.686,1.946,-3.566
2010-09-04,2.12,-1.62,5.659,1.919,-3.539
2010-09-05,2.12,-1.62,5.639,1.899,-3.519
2010-09-06,2.12,-1.62,5.672,1.932,-3.552
2010-09-07,2.12,-1.62,5.65,1.91,-3.53
2010-09-08,2.12,-1.62,5.55,1.81,-3.43
2010-09-09,2.12,-1.62,5.505,1.765,-3.385
2010-09-10,2.12,-1.62,5.508,1.768,-3.388
2010-09-11,2.12,-1.62,5.51,1.77,-3.39
2010-09-12,2.12,-1.62,5.504,1.763,-3.383
2010-09-13,2.12,-1.62,5.443,1.703,-3.323
2010-09-14,2.12,-1.62,5.408,1.668,-3.288
2010-09-15,2.12,-1.62,5.399,1.659,-3.279
2010-09-16,2.12,-1.62,5.395,1.655,-3.275
2010-09-17,2.12,-1.62,5.362,1.622,-3.242
2010-09-18,2.12,-1.62,5.342,1.602,-3.222
2010-09-19,2.12,-1.62,5.324,1.584,-3.204
2010-09-20,2.12,-1.62,5.366,1.626,-3.246
2010-09-21,2.12,-1.62,5.381,1.641,-3.261
2010-09-22,2.12,-1.62,5.388,1.648,-3.268
2010-09-23,2.12,-1.62,5.41,1.67,-3.29
2010-09-24,2.12,-1.62,5.436,1.696,-3.316
2010-09-25,2.12,-1.62,5.445,1.705,-3.325
2010-09-26,2.12,-1.62,5.442,1.702,-3.322
2010-09-27,2.12,-1.62,5.434,1.694,-3.314
2010-09-28,2.12,-1.62,5.435,1.695,-3.315
2010-09-29,2.12,-1.62,5.428,1.688,-3.308
2010-09-30,2.12,-1.62,5.411,1.671,-3.291
2010-10-01,2.12,-1.62,5.378,1.638,-3.258
2010-10-02,2.12,-1.62,5.369,1.629,-3.249
2010-10-03,2.12,-1.62,5.328,1.588,-3.208
2010-10-04,2.12,-1.62,5.301,1.561,-3.181
2010-10-05,2.12,-1.62,5.306,1.566,-3.186
2010-10-06,2.12,-1.62,5.304,1.564,-3.184
