date,daily_rain,max_temp,min_temp,vp,vp_deficit,evap_pan,evap_syn,evap_comb,evap_morton_lake,radiation,rh_tmax,rh_tmin,et_short_crop,et_tall_crop,et_morton_actual,et_morton_potential,et_morton_wet,mslp
2000/1/1,4.6,31.7,19.2,23.4,15.7,6.0,6.3,6.0,6.7,24.9,50.1,100.0,5.5,6.5,5.7,7.4,6.5,1007.1
2000/1/2,0.0,30.4,20.9,21.4,16.4,5.0,5.4,5.0,5.4,19.3,49.3,86.6,4.9,6.0,3.5,7.0,5.3,1007.4
2000/1/3,0.0,29.7,21.2,25.3,11.6,5.6,6.0,5.6,7.0,25.7,60.7,100.0,5.3,6.0,6.6,7.0,6.8,1010.3
2000/1/4,1.6,26.6,21.0,22.5,9.5,4.0,3.6,4.0,3.7,12.1,64.6,90.5,3.2,3.9,2.8,4.6,3.7,1012.2
2000/1/5,0.0,29.8,20.5,20.4,16.3,4.0,6.8,4.0,7.5,28.4,48.6,84.6,6.1,7.3,5.8,8.7,7.2,1010.9
2000/1/6,0.0,32.0,19.8,20.8,19.1,5.8,7.3,5.8,8.1,29.9,43.7,90.1,6.6,7.9,6.2,9.3,7.8,1008.6
2000/1/7,0.0,30.5,20.5,22.7,15.1,4.8,6.0,4.8,6.4,23.7,52.0,94.2,5.3,6.3,5.1,7.3,6.2,1007.4
2000/1/8,20.2,30.6,20.3,25.0,12.8,5.0,6.1,5.0,7.1,26.0,56.9,100.0,5.5,6.2,6.5,7.2,6.9,1009.9
2000/1/9,0.0,30.5,21.0,24.3,13.8,7.3,6.7,7.3,8.0,29.2,55.7,97.8,6.1,6.9,7.2,8.2,7.7,1009.6
2000/1/10,0.0,29.2,19.2,23.1,11.9,3.4,5.2,3.4,5.5,20.2,57.0,100.0,4.5,5.2,4.7,5.9,5.3,1008.4
2000/1/11,10.0,26.3,21.5,23.7,8.2,2.8,3.6,2.8,3.8,12.5,69.3,92.5,3.1,3.7,3.2,4.3,3.7,1007.1
2000/1/12,10.2,26.5,20.0,23.7,7.7,5.0,4.0,5.0,4.6,15.7,68.5,100.0,3.4,3.9,4.4,4.7,4.6,1007.3
2000/1/13,0.0,25.3,19.4,21.7,7.8,4.1,5.1,4.1,5.7,22.5,67.3,96.4,4.3,4.9,5.4,5.7,5.6,1007.0
2000/1/14,0.1,27.3,19.2,20.3,11.9,6.3,6.3,6.3,7.0,27.5,56.0,91.3,5.5,6.3,6.1,7.5,6.8,1007.3
2000/1/15,0.0,28.5,18.0,17.7,15.7,8.0,7.1,8.0,7.9,30.9,45.5,85.8,6.2,7.4,6.2,8.9,7.6,1009.5
2000/1/16,0.0,29.0,16.3,21.2,12.1,7.4,6.5,7.4,7.2,28.3,52.9,100.0,5.5,6.2,6.8,7.1,7.0,1010.2
2000/1/17,0.0,28.3,19.0,20.8,12.8,8.0,6.5,8.0,7.3,28.2,54.1,94.7,5.7,6.5,6.4,7.7,7.0,1011.4
2000/1/18,0.0,28.7,20.3,23.2,11.6,5.0,5.5,5.0,6.1,22.9,58.9,97.4,4.9,5.6,5.4,6.5,6.0,1011.8
